Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
9,Abbe,Moon,63.98,-57.58,174.77,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,,,,
10,Abbot,Moon,10.4,5.56,54.74,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1973,Charles Greeley, American astrophysicist (1872-1973).,,,,
6774,Abduh,Moon,0,14.7,39,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,-,Mohammed, Egyptian writer (1849-1905).,,,,
12,Abel,Moon,137.35,-34.63,85.78,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Niels Henrik, Norwegian mathematician (1802-1829).,,,,
14,Abenezra,Moon,43.19,-20.99,11.89,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,,,,
16,Abetti,Moon,1.6,20.11,27.82,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Antonio, Italian astronomer (1846-1928), Giorgio, Italian astronomer (1882-1982).,,
22,Abul Wafa,Moon,54.18,0.96,116.63,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",,,,,
23,Abulfeda,Moon,62.23,-13.87,13.91,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Ismail Ibn Abū al-Fidā, Syrian geographer (1273-1331).,,,,
40,Acosta,Moon,13.06,-5.65,60.14,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"Cristobal; Portuguese doctor, natural historian (1515-1580).",,,,,
47,Adams,Moon,63.27,-31.89,68.39,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,John Couch, British astronomer (1819-1892), Charles Hitchcock, American astronomer (1868-1951), Walter Sydney, American astronomer (1876-1956).
14523,Aepinus,Moon,16.74,87.96,-109.69,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,"Jan 22, 2009",Franz Maria Ulrich Theodor Hoch, German-Russian astronomer (1724-1802).,,,,
82,Agatharchides,Moon,51.98,-19.85,-31.11,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Agatharchides of Cnidos, Greek geographer (c. 116 B.C.).,,,,
92,Agrippa,Moon,43.75,4.1,10.47,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (unkn-fl. A.D. 92).,,,,,
113,Airy,Moon,38.9,-18.14,5.61,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,George Biddell, British astronomer (1801-1892).,,,,
119,Aitken,Moon,129.69,-16.44,172.96,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Robert Grant, American astronomer (1864-1951).,,,,
133,Akis,Moon,2.28,20.01,-31.76,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Greek female name.,,,,,
145,Al Bakri,Moon,12.21,14.34,20.25,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Abū Ubayd Abdallāh Ibn abd al-Azīz Ibn Muhammad, Spanish-Arab geographer (1010-1094).,,,,
146,Al Biruni,Moon,80.41,18.07,92.62,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī; Persian astronomer, mathematician, geographer (973-1048).",,,,,
149,Al Khwarizmi,Moon,56.25,7.02,107.01,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1973,Abū Ja'far Muhammad Ibn Mūsā, Iraqi mathematician (unkn-after 847).,,,,
150,Al Marrakushi,Moon,8.57,-10.45,55.77,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"Abū `Ali al-Hasan Ibn `Ali al-Marrakushi; Moroccan astronomer, mathematician (fl. c. A.D. 1281/1282).",,,,,
156,Alan,Moon,1.44,-10.93,-6.17,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Irish male name.,,,,,
162,Albategnius,Moon,130.84,-11.24,4.01,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Muhammed Ben Geber Al-Battānī; Arab astronomer, mathematician (c. 858-929).",,,,,
15003,Albert,Moon,0.1,38.32,-35.01,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,"Jun 14, 2012",Male name of German origin (Lunokhod-1 landing site feature).,,,,,
170,Alden,Moon,111.44,-23.51,111.11,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Harold Lee, American astronomer (1890-1964).,,,,
171,Alder,Moon,82.12,-48.63,-177.88,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1979,Kurt, German organic chemist, Nobel laureate (1902-1958).,,,
172,Aldrin,Moon,2.8,1.41,22.09,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Edwin Eugene, Jr. (“;Buzz“;); American astronaut (1930-Live).",,,,,
174,Alekhin,Moon,74.82,-67.94,-131.85,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Nikolaj Pavlovich; Soviet rocket designer, engineer (1913-1964).",,,,,
177,Alexander,Moon,94.8,40.25,13.69,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Alexander the Great, of Macedon; Greek geographer (356-323 B.C.).",,,,,
181,Alfraganus,Moon,20.52,-5.42,18.97,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Al-Fargani, Abu'l-'Abbās Ahmad Ibn Muhammad Ibn Kathīr; Persian astronomer (unkn-c. 840).",,,,,
183,Alhazen,Moon,34.65,15.91,71.83,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Abū Ali Al-Hasan Ibn Al Haitham, Iraqi mathematician (987-1038).,,,,
185,Aliacensis,Moon,79.65,-30.6,5.13,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"D'Ailly, Pierre; French geographer (1350-1420).",,,,,
196,Almanon,Moon,47.76,-16.85,15.14,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Abdalla Al Mamun, Persian astronomer (786-833).,,,,
199,Aloha,Moon,2.55,29.79,-53.88,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Hawaiian female first name.,,,,,
202,Alpetragius,Moon,40.02,-16.05,-4.51,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Al-Bitrūjī Al-Ishbīlī, Abū Ishāq; Spanish astronomer (unkn-c. 1100).",,,,,
206,Alphonsus,Moon,110.54,-13.39,-2.85,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Alfonso X (El Sabio), Spanish astronomer (1221-1284).,,,,
208,Alter,Moon,64.73,18.74,-107.8,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Dinsmore; American astronomer, meteorologist (1888-1968).",,,,,
223,Ameghino,Moon,9.2,3.3,57.04,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Fiorino (or Florentino), Argentine paleontologist and anthropologist (1854-1911).,,,,
232,Amici,Moon,52.03,-10.06,-172.23,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Giovanni Battista; Italian astronomer, optician (1786-1863).",,,,,
236,Ammonius,Moon,8.55,-8.52,-0.83,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Greek philosopher (unkn.-c. A.D. 517-526).,,,,,
240,Amontons,Moon,2.47,-5.34,46.78,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Guillaume, French physicist (1663-1705).,,,,
247,Amundsen,Moon,103.39,-84.44,83.07,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Roald Engelbregt Gravning, Norwegian explorer (1872-1928).,,,,
252,Anaxagoras,Moon,51.9,73.48,-10.17,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (500-428 B.C.).,,,,,
254,Anaximander,Moon,68.71,66.97,-51.44,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (c. 611-547 B.C.).,,,,,
255,Anaximenes,Moon,81.12,72.49,-44.98,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (585-528 B.C.).,,,,,
267,Andel,Moon,32.93,-10.41,12.38,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Karel, Czechoslovakian astronomer (1884-1948).,,,,
