Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
16115,Aarna,Mars,43,14.7,338.43,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Dec 16, 2022","Village in Rajasthan, India.",,,,,
4,Abalos Colles,Mars,235.83,76.83,288.35,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,2003,"Named for classical albedo feature at 72N, 70W.",,,,,
14147,Abalos Mensa,Mars,129.18,81.17,284.4,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,2006,Classical albedo feature name.,,,,,
14148,Abalos Scopuli,Mars,109.16,80.72,283.44,"Planetocentric, +East, 0 - 360","Scopulus, scopuli",SC,Approved,2006,Classical albedo feature name.,,,,,
5,Abalos Undae,Mars,442.74,78.52,272.5,"Planetocentric, +East, 0 - 360","Unda, undae",UN,Approved,1988,"Classical albedo feature at 72N, 70W.",,,,,
6,Aban,Mars,4.28,15.91,111.1,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Russia.,,,,,
16117,Abu,Mars,17,15.5,337.22,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Dec 16, 2022","Village in Rajasthan, India.",,,,,
25,Abus Vallis,Mars,60.99,-5.49,212.8,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1985,Classical name for Humber River in England.,,,,,
31,Achar,Mars,5.36,45.43,123.16,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,Town in Uruguay.,,,,,
34,Acheron Catena,Mars,421.77,37.47,259.2,"Planetocentric, +East, 0 - 360","Catena, catenae",CA,Approved,1979,"Named for classical albedo feature at 35N, 140W.",,,,,
35,Acheron Fossae,Mars,703.11,38.27,224.98,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,1979,"From classical albedo feature at 35N, 140W.",,,,,
36,Acidalia Colles,Mars,356.3,50.34,336.91,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,2000,From classical albedo feature name.,,,,,
37,Acidalia Mensa,Mars,226.86,46.69,334.66,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,2000,From classical albedo feature name.,,,,,
38,Acidalia Planitia,Mars,3505,49.76,339.26,"Planetocentric, +East, 0 - 360","Planitia, planitiae",PL,Approved,1973,"From classical albedo feature at 44N, 21W.",,,,,
14182,Ada,Mars,2.09,-3.06,356.78,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Sep 14, 2006","Town in Oklahoma, USA.",,,,,
45,Adamas Labyrinthus,Mars,853,35.7,105.12,"Planetocentric, +East, 0 - 360","Labyrinthus, labyrinthi",LB,Approved,1982,Classical albedo feature name, “,A River of Diamonds“,, today's River Sarbarnarekha in India.,
46,Adams,Mars,90.22,30.91,163.1,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,Walter S., American astronomer (1876-1956).,,,,
65,Aeolis,Mars,0,-4.94,145,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Floating island where winds were kept in a cave.,,,,,
15761,Aeolis Chaos,Mars,201,-7.13,150.6,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,"Jun 13, 2018",Classical albedo feature name.,,,,,
15019,Aeolis Dorsa,Mars,459.17,-5.05,152.63,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,"Jul 27, 2012",Classical albedo feature name.,,,,,
66,Aeolis Mensae,Mars,785.09,-3.25,140.63,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,1976,Classical albedo feature name.,,,,,
15000,Aeolis Mons,Mars,88.99,-5.08,137.85,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"May 16, 2012",Classical albedo feature name.,,,,,
15001,Aeolis Palus,Mars,111.63,-4.47,137.42,"Planetocentric, +East, 0 - 360","Palus, paludes",PA,Approved,"May 16, 2012",Classical albedo feature name.,,,,,
14165,Aeolis Planum,Mars,852.81,-1.14,144.76,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,2006,Classical albedo feature name.,,,,,
15031,Aeolis Serpens,Mars,538.55,-1.38,149.57,"Planetocentric, +East, 0 - 360","Serpens, serpentes",SE,Approved,"Aug 27, 2012",Classical albedo feature name.,,,,,
68,Aeria,Mars,0,9.88,50,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Greek name for Egypt, “,far land of mist“,.,,
69,Aesacus Dorsum,Mars,276.69,36.82,153.15,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,1985,"From albedo feature at 45N, 205W.",,,,,
71,Aetheria,Mars,0,39.67,130,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Upper world, land of living.,,,,
72,Aethiopis,Mars,0,9.88,130,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Countries of the Ethiopians on southern edge of the Earth.,,,,,
79,Aganippe Fossa,Mars,537.16,-8.49,234,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,1976,Classical albedo feature name.,,,,,
81,Agassiz,Mars,108.77,-69.88,271.11,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,Jean L., American naturalist (1807-1873).,,,,
114,Airy,Mars,43.05,-5.14,0.05,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,George B., British astronomer (1801-1892).,,,,
124,Ajon,Mars,8.08,16.49,103.14,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Russia.,,,,,
131,Aki,Mars,7.87,-35.46,299.76,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,Town in Japan.,,,,,
139,Aktaj,Mars,5.01,20.41,313.51,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Russia.,,,,,
151,Al Qahira Vallis,Mars,600,-18.23,162.41,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1973,"Word for 'Mars' in Arabic, Indonesian, Malay.",,,,,
14183,Alamos,Mars,6.44,23.48,322.88,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Sep 14, 2006",Town in Mexico.,,,,,
157,Alba Catena,Mars,144.86,35.04,245.42,"Planetocentric, +East, 0 - 360","Catena, catenae",CA,Approved,1985,Classical albedo name.,,,,,
